run_name,category,avg_psnr,best_epoch,latest_epoch,ckpt_tag,plane0_psnr,plane20_psnr,plane39_psnr,inference_tags,arg_arch,arg_diopter_mode,arg_energy_head,arg_channels,arg_bottleneck_modes,arg_use_film,arg_long_skip,arg_activation,arg_num_attn_heads,arg_epochs,arg_batch_size,arg_lr,arg_weight_decay,arg_gm_steps,arg_gm_step_size,arg_eta_schedule,arg_eta_min,arg_langevin_noise,arg_noise_method,arg_noise_scale,arg_clip_image,arg_amp,arg_compositional_ebm,arg_enable_struct,arg_enable_percep,arg_enable_phys,arg_w_struct,arg_w_percep,arg_w_phys,arg_alpha_struct,arg_beta_struct,arg_enable_phys_blur,arg_enable_phys_occ,arg_enable_phys_energy,arg_enable_phys_bokeh,arg_lambda_struct,arg_lambda_percep,arg_lambda_phys,arg_lambda_blur_edge,arg_lambda_occlusion,arg_lambda_energy_conserv,arg_lambda_bokeh,arg_enable_energy_dist,arg_weight_energy_dist,arg_energy_dist_scale,arg_enable_energy_anchor,arg_weight_energy_anchor,arg_single_scene_only,arg_num_scenes,arg_train_bypass,arg_bypass_lambda,arg_bypass_gamma,arg_bypass_warmup,arg_bypass_ramp,arg_sharp_prior,arg_sharp_lambda,arg_sharp_gamma,arg_infer_sharp,arg_infer_sharp_lambda,arg_infer_sharp_gamma,arg_infer_sharp_start,arg_compile,arg_compile_mode,arg_interleave_rate,arg_phys_gamma,arg_kappa_occ,arg_energy_pool_k,arg_bokeh_threshold,arg_bokeh_dilate_k,arg_force_compositional,arg_new_run_on_resume,arg_unmatch_ratio,arg_save_every,arg_scene_idx,arg_plane_idx,arg_resume,arg_resume_dir,arg_data_dir,arg_generated_data_dir,arg_output_dir,arg_run_dir,arg_num_workers,arg_timestamp,arg_ckpt_tag,arg_sharp_gamma_learnable,arg_sharp_gamma_mode,arg_sharp_lambda_learnable,arg_sharp_lambda_mode,arg_sharp_prior_method
gm_scene0_coc_abs_linear_20260428_121511,single_scene,43.55804443359375,194,200,,41.65019226074219,43.85444641113281,45.16949462890625,"best, best_psnr, latest",uresnet_film,coc_abs,fc,128,16,FALSE,FALSE,silu,8,200,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.0,1.0,1.0,1.0,0.0,FALSE,FALSE,FALSE,FALSE,1e-07,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,FALSE,0.01,TRUE,0,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,FALSE,FALSE,0,10,0,"0,20,39",,,../varifocal/data,,runs_gm,,4,20260428_121511,all,FALSE,,FALSE,,
gm_scene0_coc_abs_linear_20260424_200047,single_scene,42.454095204671226,195,200,,40.1393928527832,42.711326599121094,44.511566162109375,best_psnr,uresnet_hybrid,coc_abs,fc,64,,FALSE,FALSE,silu,8,200,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.0,1.0,1.0,1.0,0.0,FALSE,FALSE,FALSE,FALSE,1e-07,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,FALSE,0.01,TRUE,0,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,FALSE,FALSE,0,10,0,"0,20,39",,,../varifocal/data,,runs_gm,,4,20260424_200047,all,FALSE,,FALSE,,
gm_scene0_coc_abs_linear_20260422_025833,single_scene,42.423447926839195,200,200,,39.868316650390625,42.563011169433594,44.83901596069336,"best, best_psnr, latest",resnet_film,coc_abs,fc,128,,FALSE,FALSE,silu,,200,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.0,1.0,1.0,1.0,0.0,FALSE,FALSE,FALSE,FALSE,1e-07,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,FALSE,0.01,TRUE,0,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,FALSE,FALSE,0,5,0,"0,20,39",runs_gm/gm_scene0_coc_abs_linear_20260422_025833/latest.pth,runs_gm/gm_scene0_coc_abs_linear_20260422_025833,../varifocal/data,,runs_gm,,4,20260423_161101,all,FALSE,,FALSE,,
gm_scene0_coc_abs_linear_20260423_173758,single_scene,42.03189595540365,199,200,,40.911956787109375,42.71010971069336,42.4736213684082,"best, best_psnr, latest",uresnet_film,coc_abs,fc,128,,FALSE,FALSE,silu,8,200,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1.0,1.0,1.0,1.0,0.0,FALSE,FALSE,FALSE,FALSE,1e-07,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,FALSE,0.01,TRUE,0,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,FALSE,FALSE,0,1,0,"0,20,39",runs_gm/gm_scene0_coc_abs_linear_20260423_173758/latest.pth,runs_gm/gm_scene0_coc_abs_linear_20260423_173758,../varifocal/data,,runs_gm,,4,20260425_022334,all,FALSE,,FALSE,,
gm_scene0_coc_abs_linear_20260325_200924,single_scene,40.510756174723305,200,200,,38.30807876586914,40.798362731933594,42.42582702636719,"best, best_psnr, latest",resnet_film,coc_abs,fc,128,,FALSE,FALSE,silu,,200,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,,,,,,FALSE,10.0,30.0,,,,,,,2,,,,,,,,0,10,0,"0,20,39",runs_gm/gm_scene0_coc_abs_linear_20260325_200924/latest.pth,runs_gm/gm_scene0_coc_abs_linear_20260325_200924,../varifocal/data,,runs_gm,,4,20260331_124426,all,,,,,
gm_scene0_coc_abs_linear_20260421_142813_resumed,single_scene,38.533651987711586,217,218,,36.816993713378906,39.45042419433594,39.33353805541992,best_psnr,resnet_film,coc_abs,fc,128,,FALSE,FALSE,silu,,250,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,,FALSE,TRUE,TRUE,FALSE,FALSE,1.0,1.0,1.0,1.0,0.0,FALSE,FALSE,FALSE,FALSE,1e-11,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,TRUE,0.01,TRUE,0,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,TRUE,TRUE,0,10,0,"0,20,39",runs_gm/gm_scene0_coc_abs_linear_20260325_200924/latest.pth,runs_gm/gm_scene0_coc_abs_linear_20260325_200924,../varifocal/data,,runs_gm,,4,20260421_142813,all,FALSE,,FALSE,,
gm_coc_abs_conv1x1_linear_20260327_131349,90scene,38.03688303629557,17,17,,37.46308135986328,38.42815017700195,38.219417572021484,".ipynb_checkpoints, best, best_psnr, latest",resnet_film,coc_abs,conv1x1,128,,FALSE,FALSE,silu,,30,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,,FALSE,FALSE,FALSE,FALSE,FALSE,1.0,1.0,1.0,1.0,1.0,FALSE,FALSE,FALSE,FALSE,1e-07,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,FALSE,0.01,FALSE,0,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,,,0,1,0,"0,20,39",runs_gm/gm_coc_abs_conv1x1_linear_20260327_131349/latest.pth,runs_gm/gm_coc_abs_conv1x1_linear_20260327_131349,../varifocal/data,,runs_gm,,4,20260416_101551,all,FALSE,,FALSE,,
gm_scene0_coc_abs_linear_20260501_233819_resumed,single_scene,36.20464070638021,330,336,,34.67306137084961,37.094520568847656,36.84634017944336,"best, best_psnr, latest",uresnet_film,coc_abs,fc,128,16,FALSE,FALSE,silu,8,400,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1.0,1.0,1.0,1.0,0.0,FALSE,FALSE,TRUE,FALSE,1e-07,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,FALSE,0.01,TRUE,0,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,FALSE,TRUE,0,10,0,"0,20,39",runs_gm/gm_scene0_coc_abs_linear_20260428_121511/latest.pth,runs_gm/gm_scene0_coc_abs_linear_20260428_121511,../varifocal/data,,runs_gm,,4,20260501_233819,all,FALSE,,FALSE,,
gm_coc_abs_conv1x1_linear_20260429_132910,90scene,35.48240280151367,3,5,,35.04330825805664,35.99287414550781,35.41102600097656,"best, best_psnr, latest",uresnet_film,coc_abs,conv1x1,128,16,FALSE,FALSE,silu,8,20,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.0,1.0,1.0,1.0,0.0,FALSE,FALSE,FALSE,FALSE,1e-07,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,FALSE,0.01,FALSE,-1,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,FALSE,FALSE,0,1,0,"0,20,39",,,../varifocal/data,,runs_gm,,4,20260429_132910,all,FALSE,,FALSE,,
gm_scene0_coc_abs_linear_20260430_210752_resumed,single_scene,35.261878967285156,339,341,,33.668853759765625,36.449588775634766,35.66719436645508,"best, best_psnr, latest",uresnet_film,coc_abs,fc,128,16,FALSE,FALSE,silu,8,400,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1.0,1.0,1.0,1.0,0.0,FALSE,TRUE,FALSE,FALSE,1e-07,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,FALSE,0.01,TRUE,0,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,FALSE,TRUE,0,10,0,"0,20,39",runs_gm/gm_scene0_coc_abs_linear_20260428_121511/latest.pth,runs_gm/gm_scene0_coc_abs_linear_20260428_121511,../varifocal/data,,runs_gm,,4,20260430_210753,all,FALSE,,FALSE,,
